6 Month Avg Chbk Amt,6-Month Chbk Freq,Is declined,Is Foreign Transaction,Is Fradulent,Is High Risk Country,Merchant id,Total Number of declines/day,Average Amount/transaction/day,Daily chargeback avg amt,Number of Records,Transaction amount,Currency
0,0,N,Y,Y,N,3508979345,0,205.8614188,0,1,11528.23945,USD
585,8,N,Y,Y,Y,3527533497,0,998.3440744,701,1,26955.29001,USD
814,7,N,N,Y,N,3541182255,0,724.0674699,877,1,43444.04819,USD
230,7,N,N,Y,N,3557460410,0,85.54822336,454,1,3165.284264,USD
0,0,N,Y,Y,Y,3564918618,2,253.6174611,0,1,9891.080983,USD
469,8,N,Y,Y,N,3604409798,0,18.66793542,973,1,784.0532876,USD
758,3,N,Y,Y,N,3641844855,0,345.2290256,970,1,13118.70297,USD
954,2,N,N,Y,N,3642050373,5,66.77655374,993,1,2804.615257,USD
0,0,N,Y,Y,Y,3651341559,7,434.5973006,0,1,13472.51632,USD
0,0,N,Y,Y,N,3657008341,6,53.18771869,0,1,2553.010497,USD
0,0,N,Y,Y,N,3659140079,8,680.8050065,0,1,33359.44532,USD
0,0,N,Y,Y,Y,3675535563,7,480.7217025,0,1,17305.98129,USD
226,9,N,N,Y,N,3687691773,0,644.2848716,967,1,19972.83102,USD
0,0,N,Y,Y,N,3706361915,5,723.1415323,0,1,22417.3875,USD
0,0,N,Y,Y,N,3714090682,8,879.4463782,0,1,40454.5334,USD
0,0,N,Y,Y,N,3714419514,4,519.6687893,0,1,22345.75794,USD
542,7,N,N,Y,N,3729024090,0,360.1675018,923,1,20169.3801,USD
0,0,N,Y,Y,N,3742656867,7,199.1953372,0,1,11752.52489,USD
499,8,N,N,Y,N,3752015916,0,741.7709921,589,1,37830.3206,USD
0,0,N,Y,Y,N,3760238152,0,293.785663,0,1,14395.49749,USD
0,0,N,Y,Y,N,3764558156,5,464.2802182,0,1,21356.89004,USD
0,0,N,Y,Y,N,3774659995,8,48.43831932,0,1,2664.107563,USD
739,8,N,Y,Y,N,3776798621,9,885.2821332,888,1,53116.92799,USD
0,0,N,Y,Y,Y,3785665909,6,532.2414183,0,1,15435.00113,USD
0,0,N,N,Y,N,3785986636,7,578.1520606,0,1,32376.51539,USD
0,0,N,Y,Y,Y,3799132406,5,780.3223403,0,1,39016.11702,USD
0,0,N,N,Y,N,3800617237,7,282.8443803,0,1,15556.44092,USD
0,0,N,Y,Y,N,3806421625,0,464.1466817,0,1,15780.98718,USD
497,7,N,N,Y,N,3808398633,0,411.7532238,618,1,22234.67409,USD
0,0,N,N,Y,N,3811662493,7,866.4786465,0,1,46789.84691,USD
284,5,N,Y,Y,Y,3816482428,4,616.445728,381,1,15411.1432,USD
0,0,N,Y,Y,Y,3835542787,0,837.189105,0,1,43533.83346,USD
0,0,N,Y,Y,N,3837335703,0,276.825748,0,1,8581.598188,USD
0,0,N,Y,Y,Y,3840707845,8,10.66365782,0,1,458.5372863,USD
0,0,N,N,Y,N,3852916753,9,327.2204773,0,1,16688.24434,USD
0,0,N,Y,Y,Y,3856955720,5,810.4856122,0,1,20262.14031,USD
0,0,N,Y,Y,Y,3858398119,2,474.0885428,0,1,16593.099,USD
0,0,N,Y,Y,N,3859811531,0,444.9309256,0,1,21801.61535,USD
0,0,N,Y,Y,N,3875188381,5,933.1631705,0,1,28928.05829,USD
0,0,N,Y,Y,Y,3884139657,0,808.2022141,0,1,46067.5262,USD
0,0,N,Y,Y,N,3884787232,4,968.6067798,0,1,52304.76611,USD
0,0,N,Y,Y,Y,3905893865,9,208.0480827,0,1,7489.730977,USD
0,0,N,Y,Y,Y,3938462850,0,499.6241664,0,1,18985.71832,USD
0,0,N,N,Y,N,3950041893,9,570.627572,0,1,26819.49588,USD
0,0,N,Y,Y,Y,3958135740,0,681.5690311,0,1,31352.17543,USD
0,0,N,Y,Y,Y,3964604570,5,248.4369944,0,1,7204.672838,USD
890,6,N,Y,Y,N,3995706579,0,539.2368026,964,1,25883.36652,USD
0,0,N,Y,Y,Y,4018645384,5,580.9745696,0,1,28467.75391,USD
0,0,N,Y,Y,Y,4022945723,0,336.182123,0,1,17817.65252,USD
0,0,N,Y,Y,Y,4024505715,5,656.2025117,0,1,37403.54317,USD
0,0,N,Y,Y,Y,4036426557,3,393.7053746,0,1,11811.16124,USD
0,0,N,Y,Y,N,4058823520,0,603.3792276,0,1,30772.34061,USD
0,0,N,N,Y,N,4061849015,7,308.0830989,0,1,17868.81974,USD
0,0,N,Y,Y,Y,4063172111,9,886.8957371,0,1,44344.78686,USD
0,0,N,Y,Y,Y,4072532307,0,335.8370761,0,1,13097.64597,USD
846,4,N,Y,Y,N,4084592872,9,610.5646704,995,1,29307.10418,USD
0,0,N,Y,Y,Y,4105344658,8,52.50319147,0,1,1365.082978,USD
0,0,N,Y,Y,N,4114574519,0,572.3188104,0,1,25754.34647,USD
386,3,N,N,Y,N,4117880439,8,769.7753903,959,1,44646.97264,USD
0,0,N,N,Y,N,4127150902,8,570.5826102,0,1,18829.22614,USD
413,8,N,Y,Y,Y,4128978968,0,80.53627851,593,1,2335.552077,USD
0,0,N,Y,Y,Y,4130501464,7,483.9256352,0,1,26131.9843,USD
889,3,N,N,Y,N,4135098150,6,268.5412251,931,1,8593.319203,USD
0,0,N,Y,Y,Y,4138506573,3,787.7379607,0,1,32297.25639,USD
182,8,N,Y,Y,N,4139060865,0,263.4127903,739,1,9746.273241,USD
0,0,N,Y,Y,Y,4139280493,8,921.0639299,0,1,46974.26042,USD
0,0,N,Y,Y,Y,4151187710,0,733.4911774,0,1,35941.06769,USD
0,0,N,Y,Y,Y,4154299431,0,510.4185708,0,1,22968.83569,USD
0,0,N,N,Y,N,4155574823,8,9.134958761,0,1,429.3430618,USD
0,0,N,Y,Y,Y,4161661486,7,29.16618193,0,1,904.1516398,USD
0,0,N,Y,Y,Y,4163803727,3,971.9442274,0,1,24298.60569,USD
0,0,N,Y,Y,Y,4172276215,7,616.3847055,0,1,19724.31058,USD
0,0,N,Y,Y,Y,4173436510,0,418.34977,0,1,21754.18804,USD
0,0,N,Y,Y,Y,4177712289,2,912.5499676,0,1,37414.54867,USD
0,0,N,Y,Y,Y,4180015902,0,110.5364153,0,1,3868.774536,USD
0,0,N,N,Y,N,4192972254,7,70.55375568,0,1,2187.166426,USD
415,9,N,N,Y,N,4202639184,8,730.7886618,931,1,41654.95372,USD
0,0,N,Y,Y,Y,4205436781,0,581.9333833,0,1,33170.20285,USD
0,0,N,Y,Y,N,4209927538,0,502.4951099,0,1,24119.76528,USD
0,0,N,N,Y,N,4223065137,7,317.7292099,0,1,14297.81445,USD
0,0,N,N,Y,N,4224420959,7,428.1894204,0,1,25263.1758,USD
992,7,N,N,Y,N,4225126900,0,86.35227213,993,1,2935.977252,USD
0,0,N,Y,Y,Y,4225921989,5,58.50421659,0,1,1521.109631,USD
0,0,N,Y,Y,N,4232210297,7,67.75952614,0,1,3455.735833,USD
0,0,N,Y,Y,N,4240669276,0,429.8207641,0,1,18912.11362,USD
244,4,N,N,Y,N,4244630120,0,979.4752417,475,1,46035.33636,USD
0,0,N,N,Y,N,4266029386,7,924.9840806,0,1,39774.31547,USD
0,0,N,Y,Y,N,4294222139,9,705.352783,0,1,27508.75854,USD
0,0,N,Y,Y,N,4304266734,0,664.4396973,0,1,31228.66577,USD
0,0,N,Y,Y,Y,4305702710,0,444.8008156,0,1,16457.63018,USD
0,0,N,Y,Y,N,4312225167,0,224.4733968,0,1,6060.781714,USD
0,0,N,Y,Y,Y,4314204125,8,658.1175211,0,1,39487.05127,USD
0,0,N,Y,Y,Y,4327113971,5,926.0312574,0,1,41671.40658,USD
350,1,N,N,Y,N,4345258543,7,398.5830073,982,1,11160.3242,USD
914,7,N,N,Y,N,4348694075,0,270.2719797,991,1,16216.31878,USD
0,0,N,Y,Y,Y,4349047749,0,281.6009344,0,1,14924.84952,USD
0,0,N,Y,Y,Y,4351013109,3,25.94673767,0,1,778.4021301,USD
0,0,N,Y,Y,N,4361157500,0,892.0737616,0,1,50848.20441,USD
0,0,N,Y,Y,Y,4373776212,0,337.1910142,0,1,11127.30347,USD
0,0,N,Y,Y,N,4378980797,6,359.9114021,0,1,15476.19029,USD
571,7,N,N,Y,N,4397330540,0,550.9807563,707,1,32507.86462,USD
0,0,N,Y,Y,Y,4398664733,9,429.5809401,0,1,14605.75196,USD
0,0,N,Y,Y,Y,4405257384,9,619.23554,0,1,29723.30592,USD
0,0,N,Y,Y,Y,4409660001,4,66.89089521,0,1,3143.872075,USD
0,0,N,Y,Y,Y,4427137431,0,720.1632813,0,1,25925.87813,USD
0,0,N,Y,Y,Y,4431147517,2,787.7381474,0,1,44113.33625,USD
0,0,N,Y,Y,N,4439427249,8,815.8508538,0,1,35081.58671,USD
0,0,N,N,Y,N,4443404173,9,814.4750536,0,1,47239.55311,USD
0,0,N,Y,Y,N,4453850276,9,707.2405588,0,1,33240.30626,USD
0,0,N,Y,Y,Y,4456899824,2,383.3426919,0,1,14950.36498,USD
0,0,N,N,Y,N,4481195802,8,487.6495231,0,1,14141.83617,USD
704,9,N,N,Y,N,4489896961,0,148.6099184,916,1,3715.24796,USD
0,0,N,Y,Y,Y,4526633692,0,307.4155075,0,1,14448.52885,USD
0,0,N,Y,Y,Y,4536078157,2,987.0255318,0,1,50338.30212,USD
0,0,N,N,Y,N,4544005938,7,744.816824,0,1,29047.85614,USD
0,0,N,Y,Y,Y,4557040500,3,679.3220446,0,1,40080.00063,USD
0,0,N,N,Y,N,4563845771,8,31.25395942,0,1,1187.650458,USD
0,0,N,N,Y,N,4579872633,9,978.691432,0,1,25445.97723,USD
0,0,N,Y,Y,N,4585226511,8,256.1895782,0,1,9479.014393,USD
0,0,N,Y,Y,Y,4586229903,0,36.55582934,0,1,1571.900662,USD
0,0,N,Y,Y,N,4592811487,0,865.809278,0,1,36363.98968,USD
0,0,N,Y,Y,Y,4596416910,9,28.36943391,0,1,1163.14679,USD
367,7,N,N,Y,N,4628780648,0,766.5603656,577,1,42160.82011,USD
548,7,N,Y,Y,Y,4629967388,0,860.6974012,667,1,51641.84407,USD
228,9,N,N,Y,N,4633703602,8,436.3097896,695,1,20506.56011,USD
0,0,N,N,Y,N,4639560839,7,128.0026311,0,1,7424.152604,USD
0,0,N,Y,Y,Y,4645301386,0,315.7326582,0,1,14523.70228,USD
0,0,N,N,Y,N,4648858919,7,110.1401282,0,1,6498.267564,USD
0,0,N,Y,Y,Y,4664574739,9,259.3569041,0,1,9855.562356,USD
0,0,N,Y,Y,N,4667293611,7,253.8673429,0,1,13201.10183,USD
608,7,N,N,Y,N,4671682416,0,334.1530379,735,1,18378.41708,USD
0,0,N,N,Y,N,4684495167,9,507.067806,0,1,22310.98346,USD
0,0,N,Y,Y,Y,4687490727,8,396.6188071,0,1,11105.3266,USD
0,0,N,Y,Y,Y,4690923132,4,274.9736712,0,1,14298.6309,USD
0,0,N,Y,Y,Y,4691564176,0,630.3932778,0,1,34041.237,USD
0,0,N,Y,Y,Y,4713612792,8,491.2565161,0,1,28492.87793,USD
0,0,N,Y,Y,Y,4716163260,5,971.6299871,0,1,56354.53925,USD
0,0,N,Y,Y,Y,4718777983,7,366.1841195,0,1,17943.02186,USD
0,0,N,Y,Y,Y,4721121199,0,54.41576965,0,1,2285.462325,USD
0,0,N,Y,Y,Y,4727426967,2,719.8422034,0,1,37431.79458,USD
0,0,N,Y,Y,Y,4734471000,0,832.603207,0,1,33304.12828,USD
0,0,N,Y,Y,N,4736685684,6,753.8463192,0,1,37692.31596,USD
0,0,N,Y,Y,N,4748248523,8,658.3438678,0,1,35550.56886,USD
0,0,N,Y,Y,N,4751116909,6,880.0117675,0,1,29920.4001,USD
715,7,N,Y,Y,N,4762163981,0,735.2684285,835,1,18381.71071,USD
0,0,N,Y,Y,N,4763086973,8,711.0605246,0,1,17776.51312,USD
0,0,N,Y,Y,Y,4764736078,4,592.3582367,0,1,14808.95592,USD
0,0,N,Y,Y,Y,4772667475,3,7.409143184,0,1,274.1382978,USD
524,8,N,N,Y,N,4786546169,6,147.1329946,901,1,7503.782725,USD
0,0,N,Y,Y,N,4796001508,4,121.9231188,0,1,4755.001633,USD
0,0,N,Y,Y,Y,4805279645,3,943.4032124,0,1,45283.3542,USD
0,0,N,Y,Y,Y,4818869188,7,644.0231767,0,1,37997.36743,USD
0,0,N,N,Y,N,4835465818,9,531.3669609,0,1,21786.0454,USD
816,8,N,N,Y,N,4838852609,0,981.1519167,955,1,48076.44392,USD
300,4,N,N,Y,N,4839374244,6,204.3112252,900,1,5516.40308,USD
0,0,N,N,Y,N,4851963556,9,510.1006804,0,1,16833.32245,USD
0,0,N,Y,Y,Y,4858660021,9,640.0741242,0,1,37124.2992,USD
0,0,N,Y,Y,N,4870833599,0,404.716752,0,1,23473.57162,USD
0,0,N,Y,Y,Y,4871980109,0,883.3452074,0,1,34450.46309,USD
0,0,N,Y,Y,Y,4873110740,2,545.4334446,0,1,29453.40601,USD
0,0,N,Y,Y,Y,4878516375,0,165.7654947,0,1,8454.04023,USD
0,0,N,Y,Y,Y,4879626708,2,591.3877421,0,1,31343.55033,USD
0,0,N,Y,Y,Y,4881579578,9,640.1624804,0,1,26246.6617,USD
0,0,N,Y,Y,Y,4890143931,6,740.2046238,0,1,23686.54796,USD
0,0,N,Y,Y,Y,4898289645,7,141.7425944,0,1,5669.703776,USD
0,0,N,Y,Y,Y,4902634359,0,271.0728565,0,1,15180.07996,USD
0,0,N,Y,Y,Y,4906320707,2,858.5601081,0,1,30908.16389,USD
0,0,N,Y,Y,N,4908055617,6,801.2300183,0,1,29645.51068,USD
0,0,N,Y,Y,Y,4908884376,0,69.64048686,0,1,3551.66483,USD
0,0,N,Y,Y,Y,4933502657,0,615.5602077,0,1,36318.05225,USD
0,0,N,Y,Y,Y,4937588881,4,594.8029527,0,1,30334.95059,USD
0,0,N,Y,Y,Y,4940039747,0,600.0949052,0,1,31805.02998,USD
391,4,N,N,Y,N,4942320098,1,620.1060587,403,1,25424.34841,USD
0,0,N,Y,Y,Y,4943712797,0,131.8452729,0,1,3823.512914,USD
0,0,N,N,Y,N,4946946678,9,551.0820991,0,1,24798.69446,USD
996,6,N,N,Y,N,4948629322,0,865.32028,996,1,38074.09232,USD
0,0,N,Y,Y,Y,4970606263,7,589.1127234,0,1,34757.65068,USD
0,0,N,Y,Y,Y,4973267879,0,287.0167931,0,1,12341.7221,USD
0,0,N,Y,Y,Y,4973310264,0,919.8808727,0,1,39554.87753,USD
0,0,N,Y,Y,N,4988866051,8,850.4822313,0,1,46776.52272,USD
0,0,N,Y,Y,Y,4989248225,4,240.9497143,0,1,8192.290286,USD
339,6,N,N,Y,N,5020008779,8,388.4652081,954,1,15538.60832,USD
0,0,N,Y,Y,Y,5022726674,8,540.6711096,0,1,14057.44885,USD
0,0,N,N,Y,N,5035552703,7,413.7465063,0,1,24824.79038,USD
0,0,N,Y,Y,N,5037840894,5,509.1908935,0,1,28005.49914,USD
633,6,N,N,Y,N,5041652546,0,308.7609554,917,1,16673.09159,USD
0,0,N,Y,Y,N,5054473235,5,353.7778362,0,1,19104.00315,USD
0,0,N,Y,Y,Y,5057209186,8,284.1427114,0,1,15343.70642,USD
0,0,N,Y,Y,Y,5063944744,5,521.4180425,0,1,28677.99234,USD
0,0,N,Y,Y,Y,5066590987,0,263.2839832,0,1,13954.05111,USD
0,0,N,Y,Y,N,5076373986,5,688.9080072,0,1,33756.49235,USD
441,7,N,N,Y,N,5091764220,0,746.2325632,502,1,26864.37228,USD
0,0,N,N,Y,N,5108511837,9,162.269086,0,1,8113.4543,USD
883,8,N,N,Y,N,5116547959,0,657.5491567,894,1,30247.26121,USD
0,0,N,Y,Y,Y,5120397575,2,980.8272044,0,1,50022.18742,USD
761,7,N,Y,Y,N,5121812372,0,450.4208559,833,1,17566.41338,USD
319,7,N,N,Y,N,5134289117,0,639.6560067,377,1,24306.92825,USD
0,0,N,Y,Y,Y,5150845822,0,875.3109328,0,1,35887.74824,USD
0,0,N,Y,Y,N,5180064875,3,877.3857224,0,1,42991.9004,USD
235,1,N,N,Y,N,5183376007,8,749.7096084,614,1,23240.99786,USD
0,0,N,Y,Y,Y,5193134213,0,967.0755763,0,1,34814.72075,USD
737,9,N,N,Y,N,5195567970,0,959.1378013,786,1,52752.57907,USD
931,1,N,N,Y,N,5202727146,0,699.5129575,939,1,25182.46647,USD
0,0,N,Y,Y,Y,5224070838,5,108.2845499,0,1,5197.658395,USD
0,0,N,Y,Y,N,5235580276,3,348.1773237,0,1,14623.4476,USD
0,0,N,Y,Y,Y,5258312871,1,732.0449117,0,1,18301.12279,USD
0,0,N,Y,Y,N,5259123670,0,858.5168817,0,1,22321.43892,USD
0,0,N,Y,Y,Y,5264128511,4,7.954238966,0,1,294.3068417,USD
0,0,N,Y,Y,Y,5271180204,0,189.3138594,0,1,10601.57613,USD
0,0,N,Y,Y,N,5274967692,0,49.67058576,0,1,1738.470502,USD
0,0,N,Y,Y,N,5284726016,8,459.2866416,0,1,16075.03246,USD
0,0,N,N,Y,N,5309800449,7,846.6760804,0,1,30480.33889,USD
0,0,N,Y,Y,N,5331771857,5,674.7817162,0,1,35088.64924,USD
393,9,N,N,Y,N,5338031118,0,865.7940313,487,1,45887.08366,USD
0,0,N,Y,Y,Y,5339489340,9,806.125364,0,1,20959.25946,USD
0,0,N,N,Y,N,5339849253,8,142.5739552,0,1,5845.532163,USD
399,6,N,N,Y,N,5345941652,0,726.0532789,802,1,27590.0246,USD
101,9,N,N,Y,N,5355399779,0,43.64750081,183,1,1440.367527,USD
891,6,N,N,Y,N,5425524255,0,186.3281183,942,1,10993.35898,USD
0,0,N,Y,Y,Y,5426200375,0,935.0104992,0,1,46750.52496,USD
0,0,N,Y,Y,Y,5426239243,0,124.1292468,0,1,4344.523638,USD
0,0,N,Y,Y,N,5436582563,9,569.4513831,0,1,26764.21501,USD
0,0,N,Y,Y,Y,5436781051,5,204.4915452,0,1,5112.28863,USD
0,0,N,Y,Y,Y,5438087941,0,498.4128013,0,1,29406.35528,USD
0,0,N,Y,Y,Y,5439431588,5,534.7917778,0,1,13904.58622,USD
0,0,N,Y,Y,Y,5440569593,9,255.8440962,0,1,6396.102405,USD
0,0,N,Y,Y,Y,5444358642,3,690.3779723,0,1,41422.67834,USD
0,0,N,N,Y,N,5449566080,8,980.8982809,0,1,46102.2192,USD
685,1,N,N,Y,N,5459497990,0,773.6826383,985,1,22436.79651,USD
339,8,N,Y,Y,N,5474497608,5,569.9575183,527,1,19378.55562,USD
0,0,N,Y,Y,Y,5475382688,6,969.4199486,0,1,37807.378,USD
0,0,N,Y,Y,Y,5491231228,8,500.7184551,0,1,20529.45666,SGD
0,0,N,Y,Y,Y,5495610149,6,913.0344755,0,1,28304.06874,SGD
0,0,N,Y,Y,N,5497895958,0,192.4426122,0,1,7312.819264,SGD
330,4,N,N,Y,N,5498518099,7,397.8326505,993,1,9945.816263,SGD
0,0,N,Y,Y,Y,5499666666,5,826.6331531,0,1,42984.92396,SGD
0,0,N,Y,Y,Y,5504141167,0,364.0641254,0,1,17111.01389,SGD
586,9,N,N,Y,N,5507239729,0,145.7400314,788,1,5538.121193,SGD
789,9,N,N,Y,N,5508434208,0,212.6425076,801,1,8293.057796,SGD
0,0,N,Y,Y,Y,5516509929,0,807.7347087,0,1,40386.73544,SGD
0,0,N,Y,Y,N,5520132673,2,978.7182792,0,1,37191.29461,SGD
0,0,N,N,Y,N,5526236381,9,418.9848756,0,1,10893.60677,SGD
0,0,N,Y,Y,Y,5560111892,8,684.2787417,0,1,22581.19848,SGD
728,6,N,N,Y,N,5562961422,0,312.3866556,878,1,15306.94612,SGD
0,0,N,Y,Y,Y,5586273121,3,858.5143144,0,1,36057.6012,SGD
741,7,N,Y,Y,Y,5588296997,1,484.1391246,992,1,17913.14761,SGD
0,0,N,Y,Y,N,5591651411,4,452.309247,0,1,18996.98837,SGD
0,0,N,Y,Y,Y,5602598291,8,814.3885462,0,1,35018.70749,SGD
0,0,N,Y,Y,N,5614772190,0,818.1752923,0,1,27817.95994,SGD
0,0,N,Y,Y,Y,5624569909,0,132.3457772,0,1,4102.719093,SGD
0,0,N,Y,Y,Y,5631261207,5,697.0536989,0,1,30670.36275,SGD
989,4,N,N,Y,N,5634640261,6,539.9713415,991,1,29158.45244,SGD
0,0,N,Y,Y,N,5636587443,7,820.8520643,0,1,41042.60322,SGD
0,0,N,Y,Y,Y,5639232781,3,137.1661614,0,1,5898.14494,SGD
0,0,N,Y,Y,Y,5646455022,5,129.2911425,0,1,4525.189988,SGD
0,0,N,Y,Y,Y,5655572596,0,683.2697187,0,1,34163.48594,SGD
0,0,N,Y,Y,N,5656117724,0,432.7778058,0,1,21638.89029,SGD
0,0,N,Y,Y,N,5663085583,3,460.678046,0,1,27640.68276,SGD
0,0,N,Y,Y,N,5671132124,2,317.468299,0,1,15555.94665,SGD
0,0,N,Y,Y,Y,5673635669,6,273.0599823,0,1,15291.35901,SGD
0,0,N,Y,Y,Y,5675544222,8,856.7066756,0,1,24844.49359,SGD
0,0,N,Y,Y,N,5676841832,0,694.7347017,0,1,36126.20449,SGD
0,0,N,Y,Y,Y,5688747995,6,506.9870067,0,1,20786.46727,SGD
0,0,N,Y,Y,N,5690777846,3,204.9659578,0,1,11273.12768,SGD
0,0,N,Y,Y,Y,5693783739,7,500.0066511,0,1,22000.29265,SGD
0,0,N,Y,Y,N,5696577327,6,756.0365827,0,1,42338.04863,SGD
0,0,N,N,Y,N,5703519784,9,931.9793134,0,1,40075.11048,SGD
0,0,N,Y,Y,Y,5708922255,0,681.0673665,0,1,21794.15573,SGD
0,0,N,N,Y,N,5731414073,9,492.558973,0,1,20687.47687,SGD
0,0,N,Y,Y,Y,5733530619,0,434.4737987,0,1,14772.10916,SGD
615,3,N,Y,Y,N,5734095507,0,363.183629,971,1,13074.61064,SGD
0,0,N,Y,Y,Y,5760152287,2,147.5242383,0,1,8261.357345,SGD
0,0,N,Y,Y,Y,5766099974,6,847.9098005,0,1,42395.49003,SGD
122,1,N,Y,Y,Y,5790085700,2,402.5043924,961,1,20930.2284,SGD
0,0,N,Y,Y,Y,5793673119,4,471.3818806,0,1,23569.09403,SGD
0,0,N,Y,Y,Y,5795857704,9,798.1141754,0,1,26337.76779,SGD
0,0,N,Y,Y,N,5797107780,0,992.6494887,0,1,25808.88671,SGD
0,0,N,Y,Y,Y,5811420020,6,122.1290163,0,1,7327.740978,SGD
0,0,N,Y,Y,N,5845551567,7,404.1382887,0,1,23440.02074,SGD
0,0,N,Y,Y,Y,5859908215,7,337.8148501,0,1,8783.186103,SGD
0,0,N,Y,Y,N,5862353618,0,720.7841274,0,1,38922.34288,SGD
0,0,N,Y,Y,N,5863189919,5,640.7230528,0,1,21143.86074,SGD
0,0,N,Y,Y,N,5869315272,5,592.8263199,0,1,17784.7896,SGD
0,0,N,Y,Y,N,5871664480,0,279.1086726,0,1,15909.19434,SGD
0,0,N,Y,Y,Y,5874863707,0,265.8169401,0,1,9835.226784,SGD
539,8,N,Y,Y,N,5879049904,4,986.2171125,876,1,56214.37541,SGD
0,0,N,Y,Y,Y,5884529995,5,705.1993256,0,1,19040.38179,SGD
0,0,N,Y,Y,N,5892017866,9,416.9327519,0,1,18761.97384,SGD
0,0,N,N,Y,N,5928254406,7,899.179126,0,1,40463.06067,SGD
0,0,N,Y,Y,N,5930697966,0,427.1692882,0,1,16232.43295,SGD
485,9,N,Y,Y,N,5934351213,8,925.0870281,822,1,24977.34976,SGD
0,0,N,Y,Y,N,5938834165,4,733.9913263,0,1,38167.54897,SGD
0,0,N,Y,Y,N,5943567820,8,243.7620445,0,1,11456.81609,SGD
0,0,N,Y,Y,Y,5959708973,9,877.8014753,0,1,36867.66196,SGD
0,0,N,Y,Y,Y,5969094614,3,922.3986849,0,1,37818.34608,SGD
483,4,N,N,Y,N,5988848064,3,947.7074177,856,1,45489.95605,SGD
0,0,N,N,Y,N,5991109342,9,515.2839682,0,1,13397.38317,SGD
0,0,N,Y,Y,Y,6016034477,0,979.5699377,0,1,41141.93738,SGD
0,0,N,N,Y,N,6023215001,9,790.1523003,0,1,41878.07192,SGD
166,6,N,N,Y,N,6028844245,4,865.2955833,572,1,23362.98075,SGD
0,0,N,Y,Y,N,6051871856,6,562.7565227,0,1,15757.18264,SGD
0,0,N,Y,Y,N,6052221972,8,101.461186,0,1,5174.520486,SGD
0,0,N,Y,Y,Y,6062032943,8,58.85243721,0,1,3413.441358,SGD
0,0,N,Y,Y,Y,6062389909,0,81.64788579,0,1,4572.281604,SGD
0,0,N,Y,Y,N,6070790055,8,15.74247373,0,1,535.2441068,SGD
767,3,N,N,Y,N,6080895069,8,666.0617481,939,1,21313.97594,SGD
646,4,N,N,Y,N,6083913860,9,871.8621512,789,1,28771.45099,SGD
0,0,N,Y,Y,N,6101824913,9,425.4511691,0,1,25527.07015,SGD
0,0,N,Y,Y,N,6102479353,9,489.4387231,0,1,26919.12977,SGD
0,0,N,Y,Y,Y,6115607724,7,918.9229043,0,1,40432.60779,SGD
